POINTID,collarID,collOrig,SEX,Treatment,PrePost,ID,Timestamp,Northing,Easting
226,40991,40991,F,H2L,PostMove,40991 PostMove,12/17/2018 4:00:0,33.277849,-81.696525
227,40991,40991,F,H2L,PostMove,40991 PostMove,12/17/2018 6:00:0,33.278759,-81.696055
228,40991,40991,F,H2L,PostMove,40991 PostMove,12/17/2018 12:00:0,33.277277,-81.693511
229,40991,40991,F,H2L,PostMove,40991 PostMove,12/17/2018 18:00:0,33.275427,-81.691274
230,40991,40991,F,H2L,PostMove,40991 PostMove,12/17/2018 20:00:0,33.273799,-81.69135
231,40991,40991,F,H2L,PostMove,40991 PostMove,12/17/2018 22:00:0,33.273806,-81.690269
232,40991,40991,F,H2L,PostMove,40991 PostMove,12/18/2018 0:00:0,33.274079,-81.691134
233,40991,40991,F,H2L,PostMove,40991 PostMove,12/18/2018 2:00:0,33.274066,-81.693155
234,40991,40991,F,H2L,PostMove,40991 PostMove,12/18/2018 4:00:0,33.274543,-81.695012
235,40991,40991,F,H2L,PostMove,40991 PostMove,12/18/2018 6:00:0,33.27399,-81.691261
236,40991,40991,F,H2L,PostMove,40991 PostMove,12/18/2018 12:00:0,33.274295,-81.691452
237,40991,40991,F,H2L,PostMove,40991 PostMove,12/18/2018 18:00:0,33.273577,-81.691655
238,40991,40991,F,H2L,PostMove,40991 PostMove,12/18/2018 20:00:0,33.270862,-81.693982
239,40991,40991,F,H2L,PostMove,40991 PostMove,12/18/2018 22:00:0,33.274333,-81.69285
240,40991,40991,F,H2L,PostMove,40991 PostMove,12/19/2018 0:00:0,33.277048,-81.695851
241,40991,40991,F,H2L,PostMove,40991 PostMove,12/19/2018 2:00:0,33.278244,-81.694414
242,40991,40991,F,H2L,PostMove,40991 PostMove,12/19/2018 4:00:0,33.276654,-81.696004
243,40991,40991,F,H2L,PostMove,40991 PostMove,12/19/2018 6:00:0,33.274461,-81.691973
244,40991,40991,F,H2L,PostMove,40991 PostMove,12/19/2018 12:00:0,33.274728,-81.691642
245,40991,40991,F,H2L,PostMove,40991 PostMove,12/19/2018 18:00:0,33.274321,-81.691464
246,40991,40991,F,H2L,PostMove,40991 PostMove,12/19/2018 20:00:0,33.271027,-81.688959
247,40991,40991,F,H2L,PostMove,40991 PostMove,12/19/2018 22:00:0,33.269355,-81.69463
248,40991,40991,F,H2L,PostMove,40991 PostMove,12/20/2018 0:00:0,33.270595,-81.696525
249,40991,40991,F,H2L,PostMove,40991 PostMove,12/20/2018 2:00:0,33.271403,-81.696818
250,40991,40991,F,H2L,PostMove,40991 PostMove,12/20/2018 4:00:0,33.273087,-81.698547
251,40991,40991,F,H2L,PostMove,40991 PostMove,12/20/2018 6:00:0,33.272483,-81.695317
252,40991,40991,F,H2L,PostMove,40991 PostMove,12/20/2018 12:00:0,33.272,-81.695063
253,40991,40991,F,H2L,PostMove,40991 PostMove,12/20/2018 18:00:0,33.271701,-81.694936
254,40991,40991,F,H2L,PostMove,40991 PostMove,12/20/2018 20:00:0,33.272916,-81.691782
255,40991,40991,F,H2L,PostMove,40991 PostMove,12/20/2018 22:00:0,33.274079,-81.693677
256,40991,40991,F,H2L,PostMove,40991 PostMove,12/21/2018 0:00:0,33.274194,-81.69388
257,40991,40991,F,H2L,PostMove,40991 PostMove,12/21/2018 2:00:0,33.276184,-81.696614
258,40991,40991,F,H2L,PostMove,40991 PostMove,12/21/2018 4:00:0,33.278085,-81.695088
259,40991,40991,F,H2L,PostMove,40991 PostMove,12/21/2018 6:00:0,33.27467,-81.692011
260,40991,40991,F,H2L,PostMove,40991 PostMove,12/21/2018 12:00:0,33.274709,-81.69163
261,40991,40991,F,H2L,PostMove,40991 PostMove,12/21/2018 18:00:0,33.273844,-81.692126
262,40991,40991,F,H2L,PostMove,40991 PostMove,12/21/2018 20:00:0,33.273615,-81.698712
263,40991,40991,F,H2L,PostMove,40991 PostMove,12/21/2018 22:00:0,33.271962,-81.698064
264,40991,40991,F,H2L,PostMove,40991 PostMove,12/22/2018 0:00:0,33.270462,-81.696411
265,40991,40991,F,H2L,PostMove,40991 PostMove,12/22/2018 2:00:0,33.269756,-81.694402
266,40991,40991,F,H2L,PostMove,40991 PostMove,12/22/2018 4:00:0,33.270563,-81.693511
267,40991,40991,F,H2L,PostMove,40991 PostMove,12/22/2018 6:00:0,33.270551,-81.693626
268,40991,40991,F,H2L,PostMove,40991 PostMove,12/22/2018 18:00:0,33.271186,-81.693651
269,40991,40991,F,H2L,PostMove,40991 PostMove,12/22/2018 20:00:0,33.27097,-81.693423
